Category,Exercise,Variation
Isolation,Tricep Pushdown,"Pronated, Machine, Elevated Heels"
Isolation,Leg Curl,"Pronated, Smith Machine, Single Arm"
Hinge,Deadlift,"Mixed, Shoulder Width, Barbell"
Hinge,Romanian Deadlift,"Supinated, Cable, Elevated Heels"
Isolation,Rear Delt Fly,"Mixed, Shoulder Width, Machine"
Isolation,Bicep Curl,"Neutral, Cable, Single Arm"
Squat,Back Squat,"Mixed, Staggered, Smith Machine"
Pull,Chin-Up,"Neutral, Barbell, Feet Elevated"
Hinge,Good Morning,"Supinated, Cable, Deficit"
Isolation,Calf Raise,"Neutral, Smith Machine, Single Arm"
Press,Dumbbell Bench Press,"Pronated, Barbell, Bands"
Hinge,Back Extension,"Mixed, Narrow, Machine"
Isolation,Leg Curl,"Pronated, Split, Smith Machine"
Squat,Goblet Squat,"Mixed, Staggered, Barbell"
Press,Dip,"Pronated, Shoulder Width, Dumbbell"
Hinge,Deadlift,"Pronated, Machine, Bands"
Hinge,Hip Thrust,"Neutral, Staggered, Cable"
Pull,T-Bar Row,"Neutral, Wide, Bodyweight"
Press,Dumbbell Bench Press,"Supinated, Narrow, Smith Machine"
Isolation,Rear Delt Fly,"Supinated, Dumbbell, Chains"
Isolation,Tricep Pushdown,"Pronated, Barbell, Chains"
Hinge,Back Extension,"Neutral, Staggered, Barbell"
Hinge,Hip Thrust,"Neutral, Bodyweight, Deficit"
Isolation,Leg Curl,"Neutral, Smith Machine, Chains"
Squat,Front Squat,"Pronated, Barbell, Elevated Heels"
Press,Smith Machine Press,"Mixed, Shoulder Width, Smith Machine"
Isolation,Calf Raise,"Neutral, Shoulder Width, Smith Machine"
Press,Decline Bench Press,"Supinated, Bodyweight, Feet Elevated"
Squat,Front Squat,"False, Shoulder Width, Dumbbell"
Isolation,Leg Curl,"Supinated, Barbell, Feet Elevated"
Pull,Pull-Up,"Supinated, Wide, Machine"
Press,Machine Chest Press,"Neutral, Split, Dumbbell"
Press,Dip,"Neutral, Cable, Single Arm"
Hinge,Deadlift,"Neutral, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Mixed, Narrow, Barbell"
Pull,Chin-Up,"Pronated, Barbell, Chains"
Pull,Pull-Up,"False, Staggered, Smith Machine"
Press,Smith Machine Press,"Mixed, Wide, Barbell"
Press,Incline Bench Press,"False, Wide, Dumbbell"
Press,Dumbbell Bench Press,"Supinated, Wide, Dumbbell"
Isolation,Leg Curl,"False, Narrow, Barbell"
Pull,Cable Row,"Supinated, Shoulder Width, Bodyweight"
Hinge,Back Extension,"Pronated, Barbell, Single Arm"
Pull,Barbell Row,"Neutral, Bodyweight, Chains"
Pull,T-Bar Row,"Pronated, Smith Machine, Feet Elevated"
Pull,Cable Row,"Neutral, Smith Machine, Elevated Heels"
Squat,Front Squat,"Supinated, Shoulder Width, Smith Machine"
Press,Overhead Press,"Mixed, Staggered, Cable"
Squat,Safety Bar Squat,"Pronated, Bodyweight, Bands"
Pull,Cable Row,Standard
Hinge,Hip Thrust,"Pronated, Barbell, Deficit"
Squat,Belt Squat,"False, Split, Machine"
Isolation,Calf Raise,"Supinated, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Barbell, Elevated Heels"
Hinge,Good Morning,"Neutral, Narrow, Cable"
Hinge,Hip Thrust,"False, Narrow, Cable"
Press,Machine Chest Press,"Pronated, Split, Machine"
Pull,T-Bar Row,"False, Split, Machine"
Isolation,Leg Extension,"Neutral, Dumbbell, Single Arm"
Isolation,Rear Delt Fly,"Pronated, Bodyweight, Single Arm"
Pull,Barbell Row,"Pronated, Wide, Machine"
Press,Dumbbell Bench Press,"False, Shoulder Width, Cable"
Isolation,Tricep Pushdown,"Mixed, Staggered, Machine"
Isolation,Lateral Raise,"Mixed, Shoulder Width, Machine"
Squat,Safety Bar Squat,"Mixed, Shoulder Width, Dumbbell"
Hinge,Hip Thrust,"Neutral, Machine, Feet Elevated"
Press,Machine Chest Press,"Pronated, Split, Cable"
Squat,Back Squat,"Pronated, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"Neutral, Staggered, Machine"
Press,Decline Bench Press,"Supinated, Smith Machine, Bands"
Pull,Barbell Row,"False, Staggered, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Cable, Elevated Heels"
Isolation,Rear Delt Fly,"Pronated, Narrow, Barbell"
Isolation,Bicep Curl,"Neutral, Shoulder Width, Bodyweight"
Pull,Pull-Up,"Neutral, Cable, Elevated Heels"
Isolation,Tricep Pushdown,"Neutral, Split, Barbell"
Press,Incline Bench Press,"False, Shoulder Width, Bodyweight"
Squat,Belt Squat,"False, Shoulder Width, Smith Machine"
Isolation,Leg Extension,"False, Shoulder Width, Barbell"
Isolation,Leg Curl,"Mixed, Split, Dumbbell"
Pull,Chin-Up,"Mixed, Staggered, Machine"
Press,Dumbbell Bench Press,"Mixed, Wide, Smith Machine"
Hinge,Hip Thrust,"Neutral, Staggered, Smith Machine"
Isolation,Lateral Raise,"Supinated, Dumbbell, Chains"
Squat,Front Squat,"Mixed, Wide, Cable"
Pull,Chest Supported Row,"Supinated, Staggered, Smith Machine"
Pull,Barbell Row,"Supinated, Staggered, Dumbbell"
Pull,Barbell Row,"Supinated, Machine, Elevated Heels"
Press,Smith Machine Press,"Mixed, Narrow, Smith Machine"
Press,Overhead Press,"Pronated, Bodyweight, Elevated Heels"
Pull,Cable Row,"Mixed, Split, Barbell"
Hinge,Deadlift,"Pronated, Narrow, Machine"
Isolation,Lateral Raise,"False, Split, Cable"
Isolation,Bicep Curl,"Pronated, Staggered, Cable"
Hinge,Back Extension,"Supinated, Narrow, Dumbbell"
Pull,Pull-Up,"Neutral, Barbell, Single Arm"
Isolation,Rear Delt Fly,"Supinated, Narrow, Machine"
Pull,Barbell Row,"Mixed, Narrow, Bodyweight"
